"","HHID_panel","caste","jatis","cat_income","cat_assets","villageid","villagearea","sbd_annualincome","sbd_assets_noland","sbd_loanamount","sbd_dsr","sbd_dar","sbd_expenses","sbd_dir","sbd_dar","sbd_assets_noland","sbd_annualincome","sbd_dir","clust"
"1","ELA1","Middle","Nattar","T1 in.","T3 as.","ELA","Ur","Dec-Inc","Dec-Inc","Inc-Dec","Dec-Dec","Dec-Dec","Dec-Inc","Inc-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","sbd_dir_Inc-Dec","3"
"2","ELA10","Middle","Nattar","T1 in.","T1 as.","ELA","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","sbd_dir_Inc-Inc","2"
"3","ELA11","Middle","Vanniyar","T3 in.","T3 as.","ELA","Ur","Sta-Dec","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Dec","DEC-INC","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Sta-Dec","sbd_dir_DEC-INC","1"
"4","ELA12","Middle","Vanniyar","T3 in.","T3 as.","ELA","Ur","Sta-Dec","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Sta-Dec","sbd_dir_Inc-Inc","2"
"5","ELA13","Middle","Nattar","T2 in.","T2 as.","ELA","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Dec","Dec-Dec","Dec-Inc","Inc-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","sbd_dir_Inc-Dec","3"
"6","ELA14","Dalits","SC","T1 in.","T2 as.","ELA","Colony","Inc-Dec","DEC-INC","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_DEC-INC","sbd_annualincome_Inc-Dec","sbd_dir_Dec-Dec","3"
"7","ELA15","Dalits","SC","T3 in.","T3 as.","ELA","Colony","Sta-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Dec","DEC-INC","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Sta-Dec","sbd_dir_DEC-INC","1"
"8","ELA16","Middle","Vanniyar","T3 in.","T2 as.","ELA","Ur","Inc-Dec","Dec-Inc","Inc-Dec","Dec-Dec","Inc-Dec","Dec-Inc","Inc-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Inc-Dec","sbd_dir_Inc-Dec","3"
"9","ELA17","Dalits","SC","T2 in.","T1 as.","ELA","Colony","Inc-Dec","Inc-Inc","Inc-Inc","INC-INC","Dec-Dec","Dec-Dec","Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Inc-Dec","sbd_dir_Inc-Inc","2"
"10","ELA19","Dalits","SC","T1 in.","T1 as.","ELA","Colony","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Inc","Inc-Inc","Inc-Dec","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","sbd_dir_Inc-Inc","2"
"11","ELA2","Middle","Vanniyar","T3 in.","T3 as.","ELA","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Inc-Dec","sbd_dir_Inc-Inc","2"
"12","ELA20","Dalits","SC","T2 in.","T2 as.","ELA","Colony","Sta-Dec","Inc-Inc","Inc-Inc","INC-INC","Inc-Inc","Inc-Dec","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Sta-Dec","sbd_dir_Inc-Inc","2"
"13","ELA21","Middle","Vanniyar","T2 in.","T1 as.","ELA","Ur","Inc-Dec","Inc-Inc","Inc-Dec","Sta-Dec","Dec-Dec","Dec-Dec","Inc-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Inc-Dec","sbd_dir_Inc-Dec","2"
"14","ELA22","Dalits","SC","T2 in.","T1 as.","ELA","Colony","Inc-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Inc","DEC-INC","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Inc-Dec","sbd_dir_DEC-INC","1"
"15","ELA23","Middle","Vanniyar","T1 in.","T1 as.","ELA","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Sta-Dec","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","sbd_dir_Inc-Inc","2"
"16","ELA24","Dalits","SC","T2 in.","T3 as.","ELA","Colony","Sta-Dec","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","DEC-INC","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Sta-Dec","sbd_dir_DEC-INC","1"
"17","ELA26","Dalits","SC","T3 in.","T3 as.","ELA","Colony","Sta-Dec","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Sta-Dec","sbd_dir_Inc-Inc","2"
"18","ELA27","Dalits","SC","T3 in.","T2 as.","ELA","Colony","Dec-Inc","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Inc","sbd_dir_Inc-Dec","2"
"19","ELA30","Middle","Vanniyar","T2 in.","T2 as.","ELA","Ur","Dec-Inc","Inc-Inc","Dec-Inc","Dec-Inc","Dec-Inc","Dec-Inc","DEC-INC","sbd_dar_Dec-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","sbd_dir_DEC-INC","1"
"20","ELA31","Dalits","SC","T1 in.","T2 as.","ELA","Colony","Inc-Dec","DEC-INC","Inc-Inc","Dec-Dec","Inc-Dec","Dec-Dec","Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Inc-Dec","sbd_dir_Dec-Dec","3"
"21","ELA33","Middle","Vanniyar","T2 in.","T2 as.","ELA","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Dec","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Inc-Dec","sbd_dir_Inc-Inc","2"
"22","ELA35","Dalits","SC","T3 in.","T2 as.","ELA","Colony","Dec-Sta","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Sta","sbd_dir_Inc-Inc","2"
"23","ELA36","Dalits","SC","T2 in.","T2 as.","ELA","Colony","Dec-Inc","DEC-INC","Inc-Inc","Dec-Dec","Inc-Dec","Inc-Dec","Inc-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Dec-Inc","sbd_dir_Inc-Dec","3"
"24","ELA37","Dalits","SC","T2 in.","T3 as.","ELA","Colony","Dec-Inc","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Inc","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Inc","sbd_dir_Inc-Inc","2"
"25","ELA38","Dalits","SC","T2 in.","T2 as.","ELA","Colony","Dec-Inc","Dec-Inc","Dec-Inc","Dec-Dec","Dec-Dec","Dec-Dec","Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","sbd_dir_Dec-Dec","3"
"26","ELA39","Middle","Vanniyar","T3 in.","T2 as.","ELA","Ur","Sta-Dec","Inc-Inc","Inc-Inc","INC-INC","Inc-Inc","Inc-Dec","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Sta-Dec","sbd_dir_Inc-Inc","2"
"27","ELA4","Dalits","SC","T3 in.","T2 as.","ELA","Colony","Inc-Dec","Dec-Inc","Inc-Inc","Dec-Dec","Inc-Inc","Dec-Inc","Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","sbd_annualincome_Inc-Dec","sbd_dir_Inc-Inc","2"
"28","ELA40","Dalits","SC","T2 in.","T3 as.","ELA","Colony","Dec-Inc","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Inc","Inc-Dec","Inc-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Inc","sbd_dir_Inc-Dec","2"
"29","ELA41","Dalits","SC","T3 in.","T3 as.","ELA","Colony","Dec-Sta","Dec-Dec","Dec-Inc","Inc-Inc","Dec-Dec","Dec-Dec","Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Sta","sbd_dir_Inc-Inc","2"
"30","ELA42","Middle","Nattar","T1 in.","T3 as.","ELA","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Dec","Inc-Dec","Inc-Inc","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","sbd_dir_Inc-Inc","3"
